V1	V2	V3	V4
0.0366	0.0221	0.353585798	0.387123588
0.0394	0.0286	0.383738205	0.546337621
0.0363	0.0291	0.348946036	0.554283351
0.0258	0.0214	0.220024403	0.36697321
0.0275	0.0271	0.238737003	0.489962622
0.0288	0.0253	0.258602297	0.454598772
0.0372	0.0247	0.360434043	0.442161691
0.0235	0.0264	0.187911816	0.477728241
0.037	0.0276	0.357180385	0.513018082
0.0235	0.0233	0.188118888	0.407714853
0.0352	0.0213	0.337820725	0.364431851
0.036	0.0244	0.346423432	0.422756605
0.0308	0.025	0.278440013	0.44569285
0.0382	0.0274	0.374565219	0.506208677
0.0268	0.0223	0.232330029	0.393458867
0.0277	0.0222	0.240924044	0.385203435
0.0382	0.0271	0.373101272	0.498571685
0.0268	0.0294	0.231745099	0.561379823
0.0287	0.021	0.255854324	0.353385316
0.0354	0.0286	0.336524108	0.540642281
0.0337	0.025	0.312623042	0.447153053
0.0242	0.0284	0.198872806	0.534589759
0.0285	0.0242	0.253348905	0.419303989
0.0319	0.0261	0.293110863	0.4752783
0.0313	0.0286	0.286473525	0.540849398
0.0388	0.0286	0.377817805	0.54334352
0.0249	0.0247	0.213442992	0.437296491
0.033	0.0229	0.306675198	0.402423841
0.0227	0.0272	0.173452048	0.493208973
0.0346	0.0303	0.321746907	0.582326937
0.0376	0.0263	0.365419848	0.480426545
0.0278	0.0222	0.242801838	0.387112989
0.0326	0.0294	0.296830064	0.562665292
0.0221	0.0278	0.16889438	0.518571133
0.0236	0.0275	0.191555222	0.503481938
0.034	0.0283	0.312703201	0.529761809
0.0234	0.0283	0.182999437	0.532405641
0.0362	0.0276	0.348113586	0.510248162
0.0366	0.0232	0.353614302	0.406179068
0.0257	0.0223	0.218039868	0.39317087
0.0352	0.0299	0.329129653	0.573297038
0.0378	0.0292	0.367175506	0.55692171
0.0328	0.0213	0.302508435	0.363235214
0.0334	0.0282	0.307436424	0.528291253
0.0352	0.0258	0.334860898	0.472178466
0.0231	0.0258	0.178157207	0.470833548
0.0245	0.0299	0.203910854	0.572258583
0.028	0.0224	0.247774576	0.398086348
0.0316	0.0222	0.290983642	0.385935724
0.0262	0.0288	0.228665867	0.54656895
0.0246	0.0284	0.206999192	0.537049782
0.0244	0.0228	0.204046824	0.400646861
0.0363	0.0298	0.347431353	0.568207804
0.0233	0.0283	0.180903868	0.53138892
0.036	0.0232	0.345473791	0.405422623
0.0334	0.0287	0.307492891	0.542465555
0.0235	0.0249	0.182285688	0.444765886
0.0323	0.0252	0.298281368	0.451972153
0.0236	0.0269	0.191208887	0.484762545
0.0245	0.0271	0.209497951	0.489857293
0.0319	0.0269	0.292383593	0.483624844
0.0326	0.0284	0.298862257	0.53375537
